,self_employeed,company_size,tech_company,tech_prole,mh_benefits,anonymity,leaving_difficulty,disc_mh_coworker,disc_mh_supervisor,reveal_mh_business,reveal_mh_coworkers,affects_productivity,productivity_percent,mention_ph_interview,mention_mh_interview,share_mh_ff,exp_unsupport,reveal_less,family_history,mh_in_past,mh_currently,mh_diagnosed,sought_treatment,age,gender,country_live,state_live,country_work,state_work,year
0,0,26-100,1.0,,Not eligible for coverage / N/A,I don't know,,,,,,,,Maybe,,Somewhat open,No,,No,Yes,No,,,39.0,Male,United Kingdom,,United Kingdom,,2016
1,0,6-25,1.0,,No,Yes,,,,,,,,Maybe,,Somewhat open,No,,Yes,Yes,Yes,,,29.0,male,United States of America,Illinois,United States of America,Illinois,2016
2,0,6-25,1.0,,No,I don't know,,,,,,,,Yes,,Somewhat open,Maybe/Not sure,,No,Maybe,No,,,38.0,Male ,United Kingdom,,United Kingdom,,2016
3,1,,,,,,,,,"Sometimes, if it comes up","Sometimes, if it comes up",Yes,1-25%,Yes,,Neutral,No,,No,Yes,Yes,,,43.0,male,United Kingdom,,United Kingdom,,2016
4,0,6-25,0.0,1.0,Yes,No,,,,,,,,Maybe,,Somewhat open,"Yes, I experienced",,Yes,Yes,Yes,,,43.0,Female,United States of America,Illinois,United States of America,Illinois,2016
5,0,More than 1000,1.0,,Yes,Yes,,,,,,,,Yes,,Somewhat open,"Yes, I experienced",,No,No,Yes,,,42.0,Male,United Kingdom,,United Kingdom,,2016
6,0,26-100,1.0,,I don't know,I don't know,,,,,,,,Yes,,Not applicable to me (I do not have a mental illness),No,,No,No,No,,,30.0,M,United States of America,Tennessee,United States of America,Tennessee,2016
7,0,More than 1000,1.0,,Yes,Yes,,,,,,,,No,,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,,,37.0,female,United States of America,Virginia,United States of America,Virginia,2016
8,0,26-100,0.0,1.0,I don't know,I don't know,,,,,,,,Maybe,,Somewhat open,"Yes, I observed",,Yes,Yes,Yes,,,44.0,Female,United States of America,California,United States of America,California,2016
9,1,,,,,,,,,"No, because it doesn't matter","Sometimes, if it comes up",Yes,1-25%,Yes,,Very open,No,,Yes,Yes,Yes,,,30.0,Male,United States of America,Kentucky,United States of America,Kentucky,2016
10,0,26-100,1.0,,Yes,Yes,,,,,,,,Yes,,Very open,"Yes, I observed",,I don't know,Yes,Yes,,,28.0,Male,United States of America,Oregon,United States of America,Oregon,2016
11,0,100-500,0.0,1.0,Yes,I don't know,,,,,,,,No,,Not open at all,No,,Yes,Yes,Yes,,,34.0,Male,United States of America,Pennsylvania,United States of America,Pennsylvania,2016
